85.63,-46.617
94.422,4.9743
65.531,-85.231
47.611,-48.698
42.532,-84.971
63.18,-28.488
93.674,-99.371
72.814,-67.952
98.733,15.857
18.726,-98.963
78.079,-73.935
70.917,-16.772
99.642,21.668
52.837,-71.543
89.943,-92.058
55.25,-53.311
-4.2186,-86.835
8.5201,-71.09
70.48,-93.474
87.72,0.68877
74.161,-86.968
33.72,-53.373
79.007,-72.617
90.338,-5.7707
52.733,-59.96
82.193,-50.738
19.91,-67.519
84.758,-88.893
17.71,-76.467
69.899,-31.416
32.568,-96.039
55.682,-19.708
45.859,-35.81
76.803,-52.949
1.5685,-87.852
74.02,-42.036
48.727,-81.82
36.143,-76.603
51.416,-98.394
-1.6735,-93.507
46.966,-39.346
80.293,4.7783
37.466,-82.368
66.527,-45.122
61.383,-81.368
-20.688,-96.465
69.584,-38.893
96.424,-0.48672
11.694,-85.944
67.902,-85.599
54.818,-53.114
78.612,-25.727
80.222,-37.672
58.155,-29.018
95.017,-46.687
92.89,-90.47
11.323,-85.913
56.036,-29.833
54.167,-39.899
91.347,-91.685
97.221,12.221
37.154,-88.3
71.413,-17.283
50.347,-92.455
34.227,-67.193
56.384,-55.468
34.447,-83.3
58.878,-20.182
94.956,-51.882
70.712,-88.864
74.718,-18.386
48.847,-52.314
89.025,-62.498
17.517,-87.359
89.866,-63.338
32.033,-93.551
38.016,-44.688
71.047,-43.227
93.16,-64.627
3.17,-72.61
85.3,-58.589
31.656,-97.516
67.173,-57.279
70.753,-36.264
22.814,-57.15
88.185,-22.649
95.657,-43.372
53.533,-98.73
49.885,-83.496
52.288,-24.804
56.177,-52.122
98.899,-57.16
36.662,-64.147
63.274,-12.278
85.975,-33.099
-0.84862,-93.118
61.179,-87.705
56.223,-93.693
70.509,-76.946
98.495,-94.293
